0610_9163 | line 19 | 'e'
0089_39636 | line 31 | '7'
0089_39636 | line 91 | '7'
0089_39636 | line 151 | '7'
0864_14613 | line 15 | 'h'
0200_22929 | line 9 | '–'
0200_22929 | line 13 | '–'
0173_41196 | line 45 | '–'
0434_19992 | line 23 | '–'
0532_939 | line 53 | '•'
0576_5277 | line 27 | '.'
0471_3116 | line 5 | 'i'
0471_3116 | line 21 | 'V'
0477_3131 | line 5 | 'I'
0825_6407 | line 29 | '='
0825_6407 | line 33 | ','
0825_6407 | line 35 | '–'
0825_6407 | line 39 | '–'
0825_6407 | line 43 | '–'
0580_5283 | line 5 | '('
0504_9222 | line 5 | ':'
0256_37194 | line 23 | 'ż'
0928_1867 | line 15 | 'c'
0866_14636 | line 25 | '–'
0866_14636 | line 29 | '–'
0866_14636 | line 33 | '–'
0866_14636 | line 37 | '–'
0866_14636 | line 47 | '–'
0866_14636 | line 55 | '–'
0468_3051 | line 5 | 'i'
0468_3051 | line 21 | 'V'
0602_9155 | line 37 | '5'
0886_17224 | line 13 | '–'
0891_17231 | line 3 | '*'
0891_17231 | line 7 | '.'
0616_9186 | line 19 | '3'
0517_1781 | line 5 | 'i'
0517_1781 | line 21 | 'V'
0823_6405 | line 29 | ','
0823_6405 | line 33 | '9'
0823_6405 | line 47 | ':'
0823_6405 | line 53 | 't'
0512_1765 | line 5 | 'I'
0512_1765 | line 21 | 'V'
0772_6850 | line 21 | 'ę'
0516_1780 | line 5 | '*'
0466_3048 | line 5 | 'i'
0466_3048 | line 21 | 'V'
0466_3048 | line 41 | 'X'
0792_15804 | line 5 | '´'
0090_39621 | line 27 | '='
0090_39621 | line 33 | '∑'
0090_39621 | line 73 | '='
0090_39621 | line 79 | '∑'
0090_39621 | line 119 | '='
0090_39621 | line 125 | '∑'
0090_39621 | line 169 | '='
0090_39621 | line 219 | '='
0090_39621 | line 225 | '∑'
0090_39621 | line 269 | '='
0090_39621 | line 319 | '='
0090_39621 | line 325 | '∑'
0090_39621 | line 369 | '='
0925_1864 | line 13 | '.'
0925_1864 | line 21 | '´'
0925_1864 | line 23 | 'C'
0925_1864 | line 25 | '´'
0925_1864 | line 29 | '´'
0925_1864 | line 31 | 'C'
0925_1864 | line 33 | '´'
0824_6406 | line 19 | '='
0372_19691 | line 19 | ','
0372_19691 | line 41 | ','
0028_34366 | line 133 | '.'
0615_9185 | line 41 | 'ɛ'
0909_1845 | line 7 | 'ἄ'
0909_1845 | line 11 | 'ἀ'
0909_1845 | line 15 | 'ḗ'
0909_1845 | line 19 | 'έ'
0038_38374 | line 27 | '='
0038_38374 | line 57 | '}'
0038_38374 | line 65 | 'j'
0038_38374 | line 73 | 'j'
0113_23682 | line 71 | '1'
0113_23682 | line 75 | '2'
0113_23682 | line 79 | '3'
0113_23682 | line 83 | '1'
0113_23682 | line 95 | '2'
0113_23682 | line 107 | '3'
0113_23682 | line 119 | '1'
0113_23682 | line 123 | '2'
0113_23682 | line 127 | '3'
0113_23682 | line 237 | '1'
0113_23682 | line 241 | '2'
0113_23682 | line 245 | '3'
0113_23682 | line 259 | '1'
0113_23682 | line 263 | '2'
0113_23682 | line 267 | '3'
0113_23682 | line 271 | '1'
0113_23682 | line 283 | '2'
0113_23682 | line 295 | '3'
0113_23682 | line 307 | '1'
0113_23682 | line 311 | '2'
0113_23682 | line 315 | '3'
0113_23682 | line 339 | '1'
0113_23682 | line 343 | '2'
0113_23682 | line 347 | '3'
0113_23682 | line 351 | '1'
0113_23682 | line 363 | '2'
0113_23682 | line 375 | '3'
0113_23682 | line 387 | '1'
0113_23682 | line 391 | '2'
0113_23682 | line 395 | '3'
0113_23682 | line 489 | '/'
0113_23682 | line 577 | '0'
0113_23682 | line 619 | '0'
0113_23682 | line 653 | '1'
0113_23682 | line 657 | '2'
0113_23682 | line 661 | '3'
0942_15901 | line 3 | '˙'
0496_9214 | line 53 | '9'
0496_9214 | line 67 | ')'
0773_6851 | line 69 | 'A'
0773_6851 | line 85 | 't'
0243_25394 | line 23 | 's'
0448_11857 | line 21 | '∈'
0448_11857 | line 25 | '∈'
0448_11857 | line 29 | '∈'
0448_11857 | line 33 | '∈'
0448_11857 | line 37 | '∈'
0448_11857 | line 47 | '∈'
0448_11857 | line 51 | '∈'
0618_9188 | line 21 | '8'
0826_6408 | line 19 | 'W'
0826_6408 | line 23 | '‒'
0826_6408 | line 29 | '‒'
0106_27622 | line 33 | ':'
0025_32392 | line 17 | 'Ó'
0175_37413 | line 19 | 'P'
0175_37413 | line 23 | 'B'
0175_37413 | line 27 | 'T'
0175_37413 | line 31 | 'J'
0175_37413 | line 35 | 'B'
0175_37413 | line 37 | 'A'
0175_37413 | line 41 | 'C'
0175_37413 | line 45 | 'B'
0175_37413 | line 49 | 'C'
0175_37413 | line 53 | 'H'
0175_37413 | line 57 | 'J'
0175_37413 | line 61 | 'S'
0924_1863 | line 41 | ','
0222_26114 | line 5 | '*'
0521_1785 | line 5 | 'I'
0521_1785 | line 21 | 'V'
0183_39894 | line 19 | '9'
0566_1743 | line 23 | ','
0873_14660 | line 5 | '3'
0501_9219 | line 29 | '2'
0501_9219 | line 33 | '1'
0501_9219 | line 37 | '2'
0501_9219 | line 51 | '2'
0501_9219 | line 55 | '1'
0501_9219 | line 59 | '2'
0501_9219 | line 85 | '5'
0501_9219 | line 99 | '5'
0501_9219 | line 103 | '5'
0501_9219 | line 107 | '4'
0501_9219 | line 111 | '3'
0501_9219 | line 115 | '9'
